time,current,initsoc
0,0,0.5
0.5,0,
1,0,
1.5,0,
2,0,
2.5,0,
3,0,
3.5,0,
4,0,
4.5,0,
5,0,
5.5,0,
6,0,
6.5,0,
7,0,
7.5,0,
8,0,
8.5,0,
9,0,
9.5,0,
10,0,
10.5,20,
11,20,
11.5,20,
12,20,
12.5,20,
13,20,
13.5,20,
14,20,
14.5,20,
15,20,
15.5,20,
16,20,
16.5,20,
17,20,
17.5,20,
18,20,
18.5,20,
19,20,
19.5,20,
20,20,
20.5,20,
21,20,
21.5,20,
22,20,
22.5,20,
23,20,
23.5,20,
24,20,
24.5,20,
25,20,
25.5,20,
26,20,
26.5,20,
27,20,
27.5,20,
28,20,
28.5,20,
29,20,
29.5,20,
30,20,
30.5,20,
31,20,
31.5,20,
32,20,
32.5,20,
33,20,
33.5,20,
34,20,
34.5,20,
35,20,
35.5,20,
36,20,
36.5,20,
37,20,
37.5,20,
38,20,
38.5,20,
39,20,
39.5,20,
40,20,
40.5,20,
41,20,
41.5,20,
42,20,
42.5,20,
43,20,
43.5,20,
44,20,
44.5,20,
45,20,
45.5,20,
46,20,
46.5,20,
47,20,
47.5,20,
48,20,
48.5,20,
49,20,
49.5,20,
50,20,
50.5,20,
51,20,
51.5,20,
52,20,
52.5,20,
53,20,
53.5,20,
54,20,
54.5,20,
55,20,
55.5,20,
56,20,
56.5,20,
57,20,
57.5,20,
58,20,
58.5,20,
59,20,
59.5,20,
60,20,
60.5,20,
61,20,
61.5,20,
62,20,
62.5,20,
63,20,
63.5,20,
64,20,
64.5,20,
65,20,
65.5,20,
66,20,
66.5,20,
67,20,
67.5,20,
68,20,
68.5,20,
69,20,
69.5,20,
70,20,
70.5,0,
71,0,
71.5,0,
72,0,
72.5,0,
73,0,
73.5,0,
74,0,
74.5,0,
75,0,
75.5,0,
76,0,
76.5,0,
77,0,
77.5,0,
78,0,
78.5,0,
79,0,
79.5,0,
80,0,
80.5,0,
81,20,
81.5,20,
82,20,
82.5,20,
83,20,
83.5,20,
84,20,
84.5,20,
85,20,
85.5,20,
86,20,
86.5,20,
87,20,
87.5,20,
88,20,
88.5,20,
89,20,
89.5,20,
90,20,
90.5,20,
91,20,
91.5,20,
92,20,
92.5,20,
93,20,
93.5,20,
94,20,
94.5,20,
95,20,
95.5,20,
96,20,
96.5,20,
97,20,
97.5,20,
98,20,
98.5,20,
99,20,
99.5,20,
100,20,
100.5,20,
101,20,
101.5,20,
102,20,
102.5,20,
