time,current,initsoc
15,0,1
30,0,
45,0,
60,0,
75,0,
90,0,
105,0,
120,0,
135,0,
150,20,
165,20,
180,20,
195,20,
210,20,
225,20,
240,20,
255,20,
270,20,
285,20,
300,20,
315,20,
330,20,
345,20,
360,20,
375,20,
390,20,
405,20,
420,20,
435,20,
450,20,
465,0,
480,0,
495,0,
510,0,
525,0,
540,0,
555,0,
570,0,
585,0,
600,20,
615,20,
630,20,
645,20,
660,20,
675,20,
690,20,
705,20,
720,20,
735,20,
750,20,
765,20,
780,20,
795,20,
810,20,
825,20,
840,20,
855,20,
870,20,
885,20,
900,20,
915,0,
930,0,
945,0,
960,0,
975,0,
990,0,
1005,0,
1020,0,
1035,0,
1050,20,
1065,20,
1080,20,
1095,20,
1110,20,
1125,20,
1140,20,
1155,20,
1170,20,
1185,20,
1200,20,
1215,20,
1230,20,
1245,20,
1260,20,
1275,20,
1290,20,
1305,20,
1320,20,
1335,20,
1350,20,
1365,0,
1380,0,
1395,0,
1410,0,
1425,0,
1440,0,
1455,0,
1470,0,
1485,0,
1500,20,
1515,20,
1530,20,
1545,20,
1560,20,
1575,20,
1590,20,
1605,20,
1620,20,
1635,20,
1650,20,
1665,20,
1680,20,
1695,20,
1710,20,
1725,20,
1740,20,
1755,20,
1770,20,
1785,20,
1800,20,
1815,0,
1830,0,
1845,0,
1860,0,
1875,0,
1890,0,
1905,0,
1920,0,
1935,0,
1950,20,
1965,20,
1980,20,
1995,20,
2010,20,
2025,20,
2040,20,
2055,20,
2070,20,
2085,20,
2100,20,
2115,20,
2130,20,
2145,20,
2160,20,
2175,20,
2190,20,
2205,20,
2220,20,
2235,20,
2250,20,
2265,0,
2280,0,
2295,0,
2310,0,
2325,0,
2340,0,
2355,0,
2370,0,
2385,0,
2400,20,
2415,20,
2430,20,
2445,20,
2460,20,
2475,20,
2490,20,
2505,20,
2520,20,
2535,20,
2550,20,
2565,20,
2580,20,
2595,20,
2610,20,
2625,20,
2640,20,
2655,20,
2670,20,
2685,20,
2700,20,
2715,0,
2730,0,
2745,0,
2760,0,
2775,0,
2790,0,
2805,0,
2820,0,
2835,0,
2850,20,
2865,20,
2880,20,
2895,20,
2910,20,
2925,20,
2940,20,
2955,20,
2970,20,
2985,20,
3000,20,
3015,20,
3030,20,
3045,20,
3060,20,
3075,20,
3090,20,
3105,20,
3120,20,
3135,20,
3150,20,
3165,0,
3180,0,
3195,0,
3210,0,
3225,0,
3240,0,
3255,0,
3270,0,
3285,0,
3300,20,
3315,20,
3330,20,
3345,20,
3360,20,
3375,20,
3390,20,
3405,20,
3420,20,
3435,20,
3450,20,
3465,20,
3480,20,
3495,20,
3510,20,
3525,20,
3540,20,
3555,20,
3570,20,
3585,20,
3600,20,
3615,0,
3630,0,
3645,0,
3660,0,
3675,0,
3690,0,
3705,0,
3720,0,
3735,0,
3750,20,
3765,20,
3780,20,
3795,20,
3810,20,
3825,20,
3840,20,
3855,20,
3870,20,
3885,20,
3900,20,
3915,20,
3930,20,
3945,20,
3960,20,
3975,20,
3990,20,
4005,20,
4020,20,
4035,20,
4050,20,
4065,0,
4080,0,
4095,0,
4110,0,
4125,0,
4140,0,
4155,0,
4170,0,
4185,0,
